P15;Preparação;fazer matalesse do reforço joelho 2x;rt;1,1
P16;Preparação;fazer matalesse do reforço gancho 2x;rt;0,85
P17;Preparação;"pregar velcro em ""x"" tam P 1x";FIL;0,16
P18;Preparação;Pregar velcro quadrado tam P 1x;FIL;0,14
P19;Preparação;"Pregar velcro em ""X"" tam G 1x";FIL;0,2
P2;Preparação;Prega bolso relogio;2Ag;0,25
P21;Preparação;Bainha de bolso aparelhada 2X;BP;0,17
P20;Preparação;Pregar velcro quadrado tam G 1x;FIL;0,2
P3;Preparação;pregar vista no forro;Gol;0,35
P4;Preparação;Fixar etiqueta;rt;0,4
P5;Preparação;Fixar forro abertura;int;0,5
P6;Preparação;Abertura;2Ag;0,55
P7;Preparação;fechar saquinho;int;0,4
P8;Preparação;Fixar saquinho;rt;0,55
P9;Preparação;chulear braguilha aberta e fechada 1X;ov;0,55
T1;Traseiro;pregar bolso Traseiro com portiola 2x;2Ag;1,1
T2;Traseiro;chulear meio  elastico;ov;0,2
T3;Traseiro;rebater meio elastico;12ag;0,31
T4;Traseiro;bainha de bolso PESPONTO 2X;2Ag;0,57
T5;Traseiro;pranchar bolso costa 2x;man;0,42
